DATE_ mentioned_keyword
2014-01-01-00 125
2014-01-02-00 151
2014-01-03-00 138
2014-01-04-00 154
2014-01-05-00 154
2014-01-06-00 133
2014-01-07-00 145
2014-01-08-00 145
2014-01-09-00 153
2014-01-10-00 141
2014-01-11-00 135
2014-01-12-00 133
2014-01-13-00 155
2014-01-14-00 143
2014-01-15-00 142
2014-01-16-00 153
2014-01-17-00 154
2014-01-18-00 133
2014-01-19-00 155
2014-01-20-00 145
2014-01-21-00 137
2014-01-22-00 138
2014-01-23-00 148
2014-01-24-00 153
2014-01-25-00 83
2014-01-26-00 133
2014-01-27-00 153
2014-01-28-00 127
2014-01-29-00 133
2014-01-30-00 135
2014-01-31-00 130
2014-02-01-00 75
2014-02-02-00 127
2014-02-03-00 183
2014-02-04-00 143
2014-02-05-00 144
2014-02-06-00 142
2014-02-07-00 141
2014-02-08-00 140
2014-02-09-00 123
2014-02-10-00 157
2014-02-11-00 155
2014-02-12-00 142
2014-02-13-00 147
2014-02-14-00 147
2014-02-15-00 154
2014-02-16-00 150
2014-02-17-00 153
2014-02-18-00 148
2014-02-19-00 150
2014-02-20-00 180
2014-02-21-00 145
2014-02-22-00 137
2014-02-23-00 150
2014-02-24-00 153
2014-02-25-00 155
2014-02-26-00 155
2014-02-27-00 142
2014-02-28-00 155
2014-03-01-00 140
2014-03-02-00 134
2014-03-03-00 152
2014-03-04-00 133
2014-03-05-00 155
2014-03-06-00 145
2014-03-07-00 157
2014-03-08-00 143
2014-03-09-00 155
2014-03-10-00 145
2014-03-11-00 155
2014-03-12-00 145
2014-03-13-00 155
2014-03-14-00 155
2014-03-15-00 157
2014-03-16-00 173
2014-03-17-00 174
2014-03-18-00 151
2014-03-19-00 155
2014-03-20-00 158
2014-03-21-00 143
2014-03-22-00 144
2014-03-23-00 150
2014-03-24-00 144
2014-03-25-00 155
2014-03-26-00 158
2014-03-27-00 155
2014-03-28-00 147
2014-03-29-00 143
2014-03-30-00 138
2014-03-31-00 142
2014-04-01-00 152
2014-04-02-00 152
2014-04-03-00 150
2014-04-04-00 145
2014-04-05-00 32
2014-04-06-00 155
2014-04-07-00 135
2014-04-08-00 143
2014-04-09-00 158
2014-04-10-00 170
2014-04-11-00 157
2014-04-12-00 133
2014-04-13-00 140
2014-04-14-00 157
2014-04-15-00 155
2014-04-16-00 150
2014-04-17-00 153
2014-04-18-00 181
2014-04-19-00 181
2014-04-20-00 173
2014-04-21-00 154
2014-04-22-00 152
2014-04-23-00 182
2014-04-24-00 152
2014-04-25-00 169
2014-04-26-00 175
2014-04-27-00 173
2014-04-28-00 165
2014-04-29-00 193
2014-04-30-00 168
2014-05-01-00 154
2014-05-02-00 151
2014-05-03-00 185
2014-05-04-00 152
2014-05-05-00 175
2014-05-06-00 173
2014-05-07-00 175
2014-05-08-00 178
2014-05-09-00 153
2014-05-10-00 153
2014-05-11-00 151
2014-05-12-00 180
2014-05-13-00 183
2014-05-14-00 171
2014-05-16-00 175
2014-05-17-00 145
2014-05-18-00 185
2014-05-19-00 154
2014-05-20-00 175
2014-05-21-00 183
2014-05-22-00 177
2014-05-23-00 182
2014-05-24-00 152
2014-05-25-00 154
2014-05-26-00 138
2014-05-27-00 131
2014-05-28-00 175
2014-05-29-00 153
2014-05-30-00 178
2014-05-31-00 51
2014-06-01-00 157
2014-06-02-00 155
2014-06-03-00 175
2014-06-04-00 185
2014-06-05-00 181
2014-06-06-00 181
2014-06-07-00 151
2014-06-08-00 150
2014-06-09-00 170
2014-06-10-00 155
2014-06-11-00 130
2014-06-12-00 188
2014-06-13-00 175
2014-06-14-00 153
2014-06-15-00 177
2014-06-16-00 138
2014-06-17-00 155
2014-06-18-00 177
2014-06-19-00 174
2014-06-20-00 155
2014-06-21-00 180
2014-06-22-00 173
2014-06-23-00 174
2014-06-24-00 145
2014-06-25-00 154
2014-06-26-00 152
2014-06-27-00 152
2014-06-28-00 172
2014-06-29-00 151
2014-06-30-00 150
2014-07-01-00 148
2014-07-02-00 153
2014-07-03-00 143
2014-07-04-00 148
2014-07-05-00 133
2014-07-06-00 143
2014-07-07-00 135
2014-07-08-00 141
2014-07-09-00 142
2014-07-10-00 140
2014-07-11-00 140
2014-07-12-00 140
2014-07-13-00 137
2014-07-14-00 154
2014-07-15-00 153
2014-07-16-00 153
2014-07-17-00 152
2014-07-18-00 153
2014-07-19-00 127
2014-07-20-00 145
2014-07-21-00 153
2014-07-22-00 157
2014-07-23-00 150
2014-07-24-00 147
2014-07-25-00 133
2014-07-26-00 153
2014-07-27-00 142
2014-07-28-00 137
2014-07-29-00 137
2014-07-30-00 148
2014-07-31-00 138
2014-08-01-00 144
2014-08-02-00 153
2014-08-03-00 171
2014-08-04-00 145
2014-08-05-00 153
2014-08-06-00 151
2014-08-07-00 173
2014-08-08-00 144
